Project Name,Docker Repository,OSV Search Term
MediaWiki,library/mediawiki,mediawiki/core:Packagist
Drupal,library/drupal,drupal/core:Packagist
Joomla,library/joomla,joomla/joomla-cms:Packagist
Matomo,library/matomo,matomo/matomo:Packagist
Ghost,library/ghost,ghost:npm
Grafana,grafana/grafana,github.com/grafana/grafana:Go
Prometheus,prom/prometheus,github.com/prometheus/prometheus:Go
Mattermost,mattermost/mattermost-team-edition,github.com/mattermost/mattermost-server:Go
Gitea,gitea/gitea,code.gitea.io/gitea:Go
Portainer,portainer/portainer-ce,github.com/portainer/portainer:Go
MinIO,minio/minio,github.com/minio/minio:Go
Sentry,getsentry/sentry,sentry:PyPI
NetBox,netboxcommunity/netbox,netbox:PyPI
Apache Superset,apache/superset,apache-superset:PyPI
Apache Airflow,apache/airflow,apache-airflow:PyPI
Jenkins,jenkins/jenkins,org.jenkins-ci.main:jenkins-war:Maven
Keycloak,keycloak/keycloak,org.keycloak:keycloak-services:Maven
Apache Guacamole,guacamole/guacamole,org.apache.guacamole:guacamole-client:Maven
Graylog,graylog/graylog,org.graylog2:graylog2-server:Maven
Strapi,strapi/strapi,strapi:npm
Directus,directus/directus,directus:npm
PrestaShop,prestashop/prestashop,prestashop/prestashop:Packagist
GLPI,glpi/glpi,glpi-project/glpi:Packagist
Snipe-IT,snipe/snipe-it,snipe/snipe-it:Packagist
Mautic,mautic/mautic,mautic/core:Packagist
